pair_name,pair_1,pair_2,beta,diff,end_cash,high_sigma,low_sigma,lag
LINK/AAVE,LINKUSD,AAVEUSD,0.0839738621801392,-0.5573878286806986,273.7504254543719,4,-3,700
LINK/AAVE,LINKUSD,AAVEUSD,0.0839738621801392,-0.5573878286806986,272.39257525160014,3,-4,500
LINK/AAVE,LINKUSD,AAVEUSD,0.0839738621801392,-0.5573878286806986,271.7399911952989,2,-3,700
XMR/XLM,XMRUSD,XLMUSD,740.6805974684551,-0.0847290556398516,270.49812289125236,3,-4,72
AAVE/UNI,AAVEUSD,UNIUSD,13.55594324545914,-0.3054849727263011,270.3164342298478,4,-3,500
LTC/AAVE,LTCUSD,AAVEUSD,0.5700140756295089,-0.6082084463267083,269.680118891712,1,-3,500
XMR/AAVE,XMRUSD,AAVEUSD,0.8826694585036392,-0.9145400465969736,268.8635396268669,4,-4,500
LINK/UNI,LINKUSD,UNIUSD,1.2263243295516773,-0.1734419356361618,268.6160987389095,3,-2,700
LTC/XMR,LTCUSD,XMRUSD,0.6063129564373205,-1.2237587542474435,266.92408558374825,1,-4,700
SHIB/NEAR,SHIBUSD,NEARUSD,3.73385503299114e-06,-0.4602551314343235,266.89385078815553,4,-3,72
LTC/AAVE,LTCUSD,AAVEUSD,0.5700140756295089,-0.6082084463267083,266.7043704189421,2,-4,300
AAVE/LINK,AAVEUSD,LINKUSD,11.07888047467786,-0.549319139494286,266.4325667893426,3,-2,700
XLM/XMR,XLMUSD,XMRUSD,0.0011363454819333,-0.259765711741363,265.7624191436217,2,-2,72
XMR/LTC,XMRUSD,LTCUSD,1.5270364926485724,-0.941040289826804,265.625250002284,1,-4,300
XMR/LTC,XMRUSD,LTCUSD,1.5270364926485724,-0.941040289826804,264.7036545682147,2,-4,500
SHIB/NEAR,SHIBUSD,NEARUSD,3.73385503299114e-06,-0.4602551314343235,263.6419486944545,4,-1,300
XMR/LTC,XMRUSD,LTCUSD,1.5270364926485724,-0.941040289826804,263.14873180118894,1,-2,300
UNI/AAVE,UNIUSD,AAVEUSD,0.0698522833505816,-0.1114271622154694,263.1212399324268,3,-4,72
LINK/AAVE,LINKUSD,AAVEUSD,0.0839738621801392,-0.5573878286806986,262.3507906289472,3,-3,700
XMR/LTC,XMRUSD,LTCUSD,1.5270364926485724,-0.941040289826804,262.29004085118754,2,-2,500
AAVE/LTC,AAVEUSD,LTCUSD,1.5700327787561603,-0.5344851868545364,261.20428265555654,2,-2,300
AAVE/LINK,AAVEUSD,LINKUSD,11.07888047467786,-0.549319139494286,261.1789135400901,3,-1,500
XMR/AAVE,XMRUSD,AAVEUSD,0.8826694585036392,-0.9145400465969736,260.57800463549285,2,-3,500
XLM/AAVE,XLMUSD,AAVEUSD,0.0011540617622239,-2.217462131673629,260.3338060620665,4,-2,700
AAVE/LINK,AAVEUSD,LINKUSD,11.07888047467786,-0.549319139494286,259.3541898743949,4,-1,500
AAVE/XMR,AAVEUSD,XMRUSD,0.9425705544462912,-0.6599596685043312,259.2785627570993,3,-1,300
NEAR/SHIB,NEARUSD,SHIBUSD,255921.29738542784,-0.2348603515693175,259.17050423518566,4,-3,72
LINK/UNI,LINKUSD,UNIUSD,1.2263243295516773,-0.1734419356361618,258.75012840054876,3,-2,300
LTC/XMR,LTCUSD,XMRUSD,0.6063129564373205,-1.2237587542474435,257.96780494700545,1,-1,500
XMR/LTC,XMRUSD,LTCUSD,1.5270364926485724,-0.941040289826804,257.5849021711111,2,-3,72
AAVE/XLM,AAVEUSD,XLMUSD,824.6207944381999,-2.261462262827941,257.1284893056427,4,-4,300
LINK/UNI,LINKUSD,UNIUSD,1.2263243295516773,-0.1734419356361618,255.70139719319317,1,-2,700
DOGE/SOL,DOGEUSD,SOLUSD,0.0012281602380772,-0.0070764089485764,255.60319901483007,4,-4,72
DOGE/SOL,DOGEUSD,SOLUSD,0.0012281602380772,-0.0070764089485764,255.38456715526624,2,-4,300
LINK/UNI,LINKUSD,UNIUSD,1.2263243295516773,-0.1734419356361618,254.89624173236243,3,-3,700
AAVE/XMR,AAVEUSD,XMRUSD,0.9425705544462912,-0.6599596685043312,252.84813580604035,2,-3,72
LTC/XMR,LTCUSD,XMRUSD,0.6063129564373205,-1.2237587542474435,252.80115703316378,2,-2,700
LINK/UNI,LINKUSD,UNIUSD,1.2263243295516773,-0.1734419356361618,252.73526558454904,4,-3,300
XMR/UNI,XMRUSD,UNIUSD,12.621776456556798,-0.7008694859957951,252.51642013315606,2,-4,72
LTC/XMR,LTCUSD,XMRUSD,0.6063129564373205,-1.2237587542474435,251.4866270823949,2,-1,300
LINK/AAVE,LINKUSD,AAVEUSD,0.0839738621801392,-0.5573878286806986,250.35532551275386,3,-3,300
